Navajo,date,storage(MCM),inflow(m3/s),release(m3/s)
241,30-Aug-1990,1678.844169,16.423616027183918,15.687384963896362
242,31-Aug-1990,1677.560616,12.346028599745152,15.687384963896362
243,01-Sep-1990,1676.277063,12.232762282316298,15.687384963896362
244,02-Sep-1990,1674.99351,11.921279909386946,15.687384963896362
245,03-Sep-1990,1674.351117,18.207560526688376,15.687384963896362
246,04-Sep-1990,1674.194526,25.258388786634576,15.687384963896362
247,05-Sep-1990,1673.553366,22.455047430270426,15.687384963896362
248,06-Sep-1990,1672.746984,19.198640804190855,15.687384963896362
249,07-Sep-1990,1672.746984,24.12572561234603,15.687384963896362
250,08-Sep-1990,1672.590393,20.444570295908257,15.687384963896362
251,09-Sep-1990,1671.948,14.752937845108312,15.687384963896362
252,10-Sep-1990,1671.06024,19.764972391335128,15.687384963896362
253,11-Sep-1990,1670.171247,20.9542687243381,15.687384963896362
254,12-Sep-1990,1670.026986,25.14512246920572,15.687384963896362
255,13-Sep-1990,1668.690414,10.137335409882487,15.687384963896362
256,14-Sep-1990,1667.36124,10.1656519892397,15.687384963896362
257,15-Sep-1990,1666.472247,6.7676624663740625,15.687384963896362
258,16-Sep-1990,1665.583254,12.40266175845958,15.687384963896362
259,17-Sep-1990,1665.583254,25.371655104063432,15.687384963896362
260,18-Sep-1990,1665.287334,21.94534900184058,15.687384963896362
261,19-Sep-1990,1665.880407,24.0690924536316,15.687384963896362
262,20-Sep-1990,1666.623906,25.59818773892114,15.687384963896362
263,21-Sep-1990,1667.216979,23.81424323941668,15.687384963896362
264,22-Sep-1990,1667.808819,23.81424323941668,15.687384963896362
265,23-Sep-1990,1668.690414,27.127283024210676,15.687384963896362
266,24-Sep-1990,1669.137993,22.08693189862665,15.687384963896362
267,25-Sep-1990,1669.433913,20.3313039784794,15.687384963896362
268,26-Sep-1990,1669.433913,23.106328755486338,15.687384963896362
269,27-Sep-1990,1673.388144,67.67662466374063,15.687384963896362
270,28-Sep-1990,1674.194526,31.233187031006658,15.687384963896362
271,29-Sep-1990,1678.678947,68.75265467931474,15.687384963896362
272,30-Sep-1990,1681.246053,46.52413988390203,15.687384963896362
273,01-Oct-1990,1681.724457,26.900750389352968,15.715701543253576
274,02-Oct-1990,1681.888446,24.295625088489313,15.715701543253576
275,03-Oct-1990,1682.686197,27.15559960356789,15.715701543253576
276,04-Oct-1990,1683.96975,34.65949313322951,15.715701543253576
277,05-Oct-1990,1685.089314,29.675775166359905,15.715701543253576
278,06-Oct-1990,1686.372867,31.544669403936005,15.715701543253576
279,07-Oct-1990,1686.536856,23.984142715559962,15.715701543253576
280,08-Oct-1990,1686.858669,25.881353532493275,15.715701543253576
281,09-Oct-1990,1687.33584,23.785926660059467,15.715701543253576
282,10-Oct-1990,1687.820409,22.228514795412714,15.715701543253576
283,11-Oct-1990,1688.133591,20.218037661050545,15.715701543253576
284,12-Oct-1990,1690.223526,45.47642644768512,15.715701543253576
285,13-Oct-1990,1692.462654,42.474869035820475,15.715701543253576
286,14-Oct-1990,1694.387367,38.85034687809713,15.715701543253576
287,15-Oct-1990,1695.67092,36.500070791448394,15.715701543253576
288,16-Oct-1990,1695.67092,21.605550049554015,15.715701543253576
289,17-Oct-1990,1695.9915,25.315021945349002,15.715701543253576
290,18-Oct-1990,1696.954473,32.73396573693898,15.715701543253576
291,19-Oct-1990,1697.917446,34.20642786351409,15.715701543253576
292,20-Oct-1990,1701.604116,59.153334277219315,15.715701543253576
293,21-Oct-1990,1702.245276,23.899192977488322,15.715701543253576
294,22-Oct-1990,1702.722447,21.973665581197793,15.715701543253576
295,23-Oct-1990,1703.04426,20.133087922978905,15.715701543253576
296,24-Oct-1990,1703.528829,22.03029873991222,15.715701543253576
297,25-Oct-1990,1703.68542,19.821605550049554,15.715701543253576
298,26-Oct-1990,1703.68542,25.343338524706216,15.715701543253576
299,27-Oct-1990,1703.849409,23.899192977488322,15.715701543253576
