grandid,damname,lon,lat,upreal,ix,iy,fldsto_mcm,consto_mcm,totalsto_mcm,fldsto/uparea,Qn,Qf
2141,AyersIslandReservoir,-71.7170868,43.599582700000006,1964.0,434,188,3.6831476945680017,8.616852305432,12.3,0.001875329783384929,28.371855,84.31665344238282
2477,Taipu,-35.657917,-5.63375,2062.0,577,384,110.69804818684266,69.30195181315734,180.0,0.05368479543493824,0.74675816,82.05856933593748
4022,Pournari,21.0262508,39.1870842,1809.0,805,204,91.55494010800794,638.4450598919921,730.0,0.05061080160752236,41.308292,661.7051513671875
830,Winter,-91.074585,45.8912506,2009.0,358,178,102.64855891772228,181.05144108227768,283.7,0.051094354861982216,16.893847,83.27224731445312
2308,LagodelEden,-66.0862503,-17.5287495,2013.0,457,431,37.16169039298144,62.838309607018566,100.0,0.01846084967361224,22.653091,589.7748046875
851,BigStoneLake,-96.449585,45.30374910000001,1884.0,334,179,53.42725210115579,199.47274789884415,252.9,0.028358414066430887,4.5785933,61.90477294921874
3511,Coghinas,9.0229168,40.78791810000001,1884.0,757,197,47.531381316412,204.46861868358798,252.0,0.025228970974740986,1.5272706,122.99943237304687
5166,Kaengkrachan,99.6254196,12.9204168,2181.0,1119,311,142.5543143601054,567.4456856398947,710.0,0.06536190479601348,40.456257,678.446630859375
1003,TorontoLake,-95.9287491,37.7454185,1916.0,337,209,221.632066202612,171.76793379738797,393.4,0.115674356055643,5.064093,412.4068359375
5630,Baihua,106.5420837,26.6904163,1876.0,1146,254,80.55103154998487,140.24896845001513,220.8,0.042937650079949284,44.951473,658.3793701171875
3213,Straussfurt,10.9837503,51.1537514,2045.0,762,158,6.850835033561242,19.14916496643876,26.0,0.003350041581203541,19.44378,66.31376037597656
4280,Clanwilliam,18.8754177,-32.1862488,2040.0,796,490,43.78229754049512,80.31770245950487,124.1,0.021461910559066242,1.0361608,75.51639404296873
5408,Tangduhe,111.340416,30.8412495,1781.0,1166,235,23.452745685183764,10.047254314816236,33.5,0.013168301900720807,19.990318,918.77021484375
5002,Bhadra,75.63375090000002,13.6995831,2033.0,1023,307,800.649561476409,1222.350438523591,2023.0,0.3938266411590797,95.71757,891.718505859375
1741,GreenRiverLake,-85.3395844,37.2495842,1765.0,379,211,284.2036598747718,607.8963401252281,892.1,0.16102190361176874,27.930664,129.7845703125
4635,Arpachay,45.092083,39.6537514,2176.0,902,202,71.06942346752098,78.93057653247902,150.0,0.03266058063764751,12.728614,155.69317016601562
2958,SidiDriss,-6.82125,31.8162498,1683.0,692,234,1.3475688091913132,5.652431190808687,7.0,0.0008006944796145651,1.0425829,90.40543212890623
119,ClearLakeReservoir,-121.0787506,41.9262505,1824.0,236,193,298.8947377649987,438.1052622350013,737.0,0.16386772903782826,8.749372,48.448558044433604
5910,Mapyong,125.5212479,39.97874829999999,1904.0,1222,200,1373.8168029398955,1526.1831970601045,2900.0,0.7215424385188528,38.571754,1398.114697265625
5701,Changtan,116.1337509,24.7029171,1992.0,1185,261,111.45399722298605,60.54600277701395,172.0,0.055950801818768096,41.098248,2316.8982421875
567,McPhee,-108.5720825,37.5787506,2085.0,285,212,98.84583593022344,183.65416406977658,282.5,0.04740807478667791,0.7476222,20.623175811767574
2980,Tougouri,-0.512083,13.3237495,1738.0,717,306,3.7009544746436935,2.2990455253563065,6.0,0.002129432954340445,0.16715036,43.374591064453114
6632,Jindabyne,148.6304169,-36.43375020000001,1845.0,1316,505,104.64477219012758,583.6552278098724,688.3,0.05671803370738623,9.397039,281.62166748046866
2305,Condoroma,-71.284584,-15.3979168,1946.0,434,421,121.92023239342166,138.07976760657834,260.0,0.06265171243238522,35.01486,90.55365600585935
2521,MirrorosLadodeFora,-42.345417,-11.4604168,1781.0,551,407,130.1519608552085,34.8480391447915,165.0,0.07307802406244161,2.179837,253.26569824218743
6840,Ceauru,23.1812496,44.96041870000001,2032.0,814,180,54.76,93.24,148.0,0.0269488188976378,29.672684000000004,138.65746765136714
4814,Harsi,77.92124940000002,25.7537498,1902.0,1032,257,75.3156515073041,131.6843484926959,207.0,0.03959813433612203,7.329990400000002,463.52486572265616
5809,Saguling,107.3670807,-6.9129171000000005,2317.0,1151,388,329.76367014150594,545.2363298584941,875.0,0.1423235520679784,131.23796000000002,1238.78056640625
