3529,NDAMS
GRAND_ID,DamName,DamLon,DamLat,area_CaMa,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
299,Hungry_Horse,-114.008,48.342,3846.8,265,168,542.2307297489233,3136.069270251077,3678.3,23.088741,249.77468872070312
300,Tiber_Dike,-111.108,48.325,14158.3,276,167,572.1099999999999,1184.99,1757.1,21.776909,111.45024871826172
305,Albeni_Falls,-116.992,48.175,62946.6,253,168,33.464167176445244,1391.2358328235548,1424.7,274.65237,1469.5325927734375
306,Swift_Dike,-112.875,48.158,320.1,269,168,25.33,16.57,41.9,0.29940593,7.725185871124268
307,Fort_Peck_Dam,-106.408,47.992,147806.4,295,169,3183.701703186718,20376.298296813282,23560.0,129.25812,287.6818542480469
309,Noxon_Rapids,-115.742,47.958,56185.6,258,169,30.644826090925164,462.7551739090748,493.4,225.36273,878.0462646484375
310,Grand_Coulee,-118.975,47.958,195173.9,245,169,427.9527268849624,5967.647273115038,6395.6,1588.0653,4694.68017578125
311,Dry_Falls,-119.025,47.942,716.0,244,169,43.29861408806869,838.6013859119313,881.9,1.0011948,43.57826232910156
313,Long_Lake,-117.842,47.842,16447.6,250,169,17.26961142072176,112.33038857927824,129.6,131.49791,930.3285522460938
315,Post_Falls_Middle_Channel,-116.958,47.708,9970.4,253,170,21.589974705203105,255.9100252947969,277.5,92.33659,788.3129272460938
316,Kerr,-114.225,47.675,18613.4,264,170,29.555571422280536,2179.6444285777193,2209.2,106.58354,572.87255859375
319,Gibson,-112.758,47.608,1510.3,269,170,69.91,52.290000000000006,122.2,3.237085,21.692846298217773
327,Moses_Lake_South,-119.325,47.092,5905.1,243,171,4.305524378996402,57.3944756210036,61.7,11.295448,209.72467041015625
328,Holter_Dam,-112.008,46.992,43910.6,273,173,45.370000000000005,332.03,377.4,56.170433,318.3988952636719
329,O'Sullivan,-119.258,46.975,10602.9,244,173,37.3258947643921,372.5741052356079,409.9,18.062038,326.1558532714844
330,Petrolia,-108.242,46.942,975.8,287,173,7.75,9.75,17.5,0.47884375,19.421085357666016
331,Nevada_Creek_Dam,-112.808,46.808,455.5,270,173,7.450000000000001,13.85,21.3,0.31818238,6.374287128448486
334,Lake_Helena,-111.908,46.708,742.3,272,174,21.020000000000003,39.48,60.5,0.51384777,4.189244747161865
335,Scooteney_Reservoir_Outlet_Dam,-119.025,46.675,643.8,244,174,11.35,7.450000000000001,18.8,0.43003273,15.836313247680664
338,Dworshak_Dam,-116.292,46.525,6317.4,255,174,524.5349659142153,3866.6650340857846,4391.2,72.18347,504.1840515136719
343,Opportunity_Tailings_Ponds,-112.775,46.158,952.2,270,176,3.7,7.7,11.4,0.5531919,6.020872116088867
346,Cold_Springs,-119.175,45.858,544.9,245,177,15.759999999999998,39.24,55.0,1.3510463,34.26549530029297
347,West_Fork_Bitterroot,-114.275,45.725,893.0,263,178,20.370000000000005,35.23,55.6,2.8018622,28.7037353515625
350,McKay,-118.792,45.608,514.0,246,179,32.209999999999994,51.39,83.6,1.802342,47.60224533081055
352,Madison_Dam,-111.658,45.442,5716.2,274,179,1.592118905624055,50.307881094375944,51.9,19.93272,140.16737365722656
